split_id,group_strategy,feature,pearson_r_train_only,spearman_r_train_only,train_mean,train_sd,screening_used_test_group,external_test_used
composition_gss_09,composition_family_group_shuffle,Br,0.6319845588836532,0.7086116115693545,0.2071,0.2542084876921381,False,False
composition_gss_09,composition_family_group_shuffle,Cl,0.6916587851788478,0.37538651596106637,0.026285714285714284,0.13391722865591024,False,False
composition_gss_09,composition_family_group_shuffle,I,-0.8583447117242918,-0.7592700652107485,0.7666142857142857,0.2950805931296021,False,False
composition_gss_10,composition_family_group_shuffle,FA,-0.29468996330800723,-0.2333079212699743,0.5227243303571428,0.3723297223676714,False,False
composition_gss_10,composition_family_group_shuffle,MA,0.15677436869498662,0.08103719114296426,0.3489832589285714,0.38438890350458094,False,False
composition_gss_10,composition_family_group_shuffle,Cs,0.2019152528511735,0.11182601268916023,0.1282924107142857,0.24495179955115193,False,False
composition_gss_10,composition_family_group_shuffle,Pb,0.3276211992683783,0.5215093191442339,0.8710267857142858,0.2889011724173115,False,False
composition_gss_10,composition_family_group_shuffle,Sn,-0.3276211992683782,-0.5215093191442339,0.1289732142857143,0.2889011724173115,False,False
composition_gss_10,composition_family_group_shuffle,Br,0.5623013286316872,0.6572645745363185,0.18146651785714285,0.22008102787767833,False,False
composition_gss_10,composition_family_group_shuffle,Cl,0.7376020649388875,0.3598729623942473,0.024919642857142855,0.13083516883087729,False,False
composition_gss_10,composition_family_group_shuffle,I,-0.8288815066542166,-0.7019252317833665,0.7936138392857143,0.2657269384228318,False,False
composition_gss_11,composition_family_group_shuffle,FA,-0.2389748939692885,-0.12437464477076499,0.5622839673913044,0.3735409219469241,False,False
composition_gss_11,composition_family_group_shuffle,MA,0.19130442499651537,0.11520280262959304,0.33885733695652176,0.38631030524064874,False,False
composition_gss_11,composition_family_group_shuffle,Cs,0.07176457377658016,-0.08714788076002056,0.09885869565217392,0.21408935624696418,False,False
composition_gss_11,composition_family_group_shuffle,Pb,0.4074622503107394,0.6370348087502345,0.8050951086956522,0.32887141533344216,False,False
composition_gss_11,composition_family_group_shuffle,Sn,-0.4074622503107394,-0.6370348087502345,0.19490489130434782,0.32887141533344216,False,False
composition_gss_11,composition_family_group_shuffle,Br,0.6229341377017871,0.7220755374298706,0.22781793478260867,0.26789616721355375,False,False
composition_gss_11,composition_family_group_shuffle,Cl,0.7155843970284979,0.4391619812227386,0.035635869565217394,0.15372973565774398,False,False
composition_gss_11,composition_family_group_shuffle,I,-0.8740743165615983,-0.791260536600487,0.7365461956521738,0.31677886292552204,False,False
composition_gss_12,composition_family_group_shuffle,FA,-0.16693575080453946,-0.13368243802599863,0.43342708333333335,0.38250363707269486,False,False
composition_gss_12,composition_family_group_shuffle,MA,0.05021770860717222,-0.03151361556800602,0.44116782407407407,0.41197186561394616,False,False
composition_gss_12,composition_family_group_shuffle,Cs,0.17036117448073404,0.08057760129825649,0.12540509259259258,0.2533749187278856,False,False
composition_gss_12,composition_family_group_shuffle,Pb,0.2228678405175459,0.3955969858512074,0.9178194444444444,0.22808903457922364,False,False
composition_gss_12,composition_family_group_shuffle,Sn,-0.2228678405175459,-0.3955969858512074,0.08218055555555556,0.22808903457922364,False,False
composition_gss_12,composition_family_group_shuffle,Br,0.5750652607755427,0.6880978610718209,0.20230555555555552,0.23851769460968306,False,False
composition_gss_12,composition_family_group_shuffle,Cl,0.7555409308958483,0.4110721310319997,0.030356481481481484,0.1424225527470238,False,False
composition_gss_12,composition_family_group_shuffle,I,-0.8499120157746083,-0.7481134179637666,0.767337962962963,0.28799370263081375,False,False
composition_gss_13,composition_family_group_shuffle,FA,-0.37760564198849356,-0.29040708444090485,0.6086863517060367,0.3444383233653125,False,False
composition_gss_13,composition_family_group_shuffle,MA,0.3540397170998391,0.18071324302699784,0.2551062992125985,0.33709648956345567,False,False
composition_gss_13,composition_family_group_shuffle,Cs,0.04233926464970203,-0.034498200776541,0.1362073490813648,0.2531056811701107,False,False
composition_gss_13,composition_family_group_shuffle,Pb,0.3705539819004216,0.5906169676167318,0.8568110236220472,0.3069078826040083,False,False
composition_gss_13,composition_family_group_shuffle,Sn,-0.3705539819004216,-0.5906169676167318,0.14318897637795275,0.3069078826040083,False,False
composition_gss_13,composition_family_group_shuffle,Br,0.6482605901753015,0.7493941370831555,0.24009973753280842,0.2586007602157067,False,False
composition_gss_13,composition_family_group_shuffle,Cl,0.6830976596869373,0.39737489317914343,0.02917060367454068,0.13989070838149587,False,False
