"Stage","TermCount","Terms","CV_RMSE_Mean","CV_RMSE_Std","CV_R2","Fold_RMSE"
"M2","6","Sn + Br + Cl + Br^2 + Sn*Br + Br*Cl","0.0866610263841479","0.0129921049757805","0.919966081340767","0.10161567;0.08911821;0.09274923;0.08304453;0.06677750"
"M2","6","Sn + Br + Cl + Br^2 + Sn*Cl + Br*Cl","0.0888074544097563","0.00806479305999057","0.916927473683207","0.10128505;0.08646678;0.09176710;0.08375494;0.08076339"
"M2","7","Sn + Br + Cl + Br^2 + Sn*Br + Sn*Cl + Br*Cl","0.0891741026048906","0.00891124614422517","0.916113989177726","0.10181755;0.08892976;0.09298448;0.08350167;0.07863706"
"M2","5","Sn + Br + Cl + Sn^2 + Br^2","0.0629140823563055","0.0125917225077936","0.957224869379967","0.08179852;0.05930065;0.06845337;0.05545081;0.04956706"
"M2","6","Sn + Br + Cl + Sn^2 + Br^2 + Sn*Br","0.0623461290765387","0.0117692471460988","0.958136798602721","0.07992891;0.06178039;0.06642731;0.05343456;0.05015948"
"M2","6","Sn + Br + Cl + Sn^2 + Br^2 + Sn*Cl","0.0666237126158095","0.00985282454367486","0.952760420978198","0.07745828;0.05844875;0.06674376;0.05522846;0.07523932"
"M2","7","Sn + Br + Cl + Sn^2 + Br^2 + Sn*Br + Sn*Cl","0.0650358669963702","0.00849768589805366","0.955143173528371","0.07609076;0.06113989;0.06505659;0.05351890;0.06937320"
"M2","6","Sn + Br + Cl + Sn^2 + Br^2 + Br*Cl","0.0637364124434363","0.0122840263562826","0.956200527216854","0.08244833;0.05975836;0.06912318;0.05543556;0.05191664"
"M2","7","Sn + Br + Cl + Sn^2 + Br^2 + Sn*Br + Br*Cl","0.0631679664128284","0.0115667036380045","0.957098452754049","0.08082318;0.06210358;0.06695307;0.05342664;0.05253337"
"M2","7","Sn + Br + Cl + Sn^2 + Br^2 + Sn*Cl + Br*Cl","0.0670281710720064","0.0100188906585363","0.952167635859217","0.07774273;0.05901734;0.06712714;0.05517216;0.07608149"
