split,id,FA,MA,Cs,Pb,Sn,Br,Cl,I,Eg
train,36,0.9,0.0,0.1,1.0,0.0,0.033,0.0,0.967,1.55
train,37,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.8,1.57
train,38,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,1.254
train,39,0.0,1.0,0.0,0.4,0.6,0.3,0.0,0.7,1.25
train,40,0.0,0.89,0.11,1.0,0.0,0.0,0.0,1.0,1.62
train,41,0.3,0.7,0.0,1.0,0.0,0.7,0.0,0.3,2.03
train,42,0.79,0.16,0.05,0.75,0.25,0.167,0.0,0.833,1.34
train,43,0.6,0.4,0.0,1.0,0.0,0.256,0.0,0.744,1.72
train,44,0.0,0.77,0.23,1.0,0.0,0.0,0.0,1.0,1.644
train,45,0.0,1.0,0.0,1.0,0.0,0.025,0.0,0.992,1.6
train,46,0.81,0.14,0.05,1.0,0.0,0.15,0.0,0.85,1.63
train,47,0.0,1.0,0.0,1.0,0.0,0.023,0.0,0.977,1.61
train,48,0.7,0.0,0.3,1.0,0.0,0.095,0.0,0.905,1.63
train,49,0.85,0.0,0.15,1.0,0.0,0.3,0.0,0.7,1.72
train,50,0.0,1.0,0.0,0.25,0.75,0.4,0.0,0.6,1.34
train,51,0.38,0.57,0.05,1.0,0.0,0.067,0.0,0.933,1.57
train,52,0.95,0.0,0.05,1.0,0.0,0.05,0.0,0.95,1.538
train,53,0.79,0.16,0.05,0.916,0.084,0.173,0.0,0.827,1.38
train,54,0.0,1.0,0.0,0.75,0.25,0.4,0.0,0.6,1.59
train,55,0.0,1.0,0.0,1.0,0.0,0.12,0.0,0.88,1.62
train,56,0.8,0.0,0.2,0.0,1.0,0.0,0.0,1.0,1.2
train,57,0.0,0.99,0.01,1.0,0.0,0.01,0.0,0.99,1.6
train,58,0.0,0.83,0.17,1.0,0.0,0.0,0.0,1.0,1.633
train,59,0.83,0.0,0.17,0.98,0.02,0.0,0.0,1.0,1.51
train,60,0.0,1.0,0.0,1.0,0.0,0.33,0.67,0.0,2.81
train,61,0.9,0.1,0.0,1.0,0.0,0.01,0.0,0.99,1.581
train,62,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.8,1.62
train,63,0.87,0.0,0.13,1.0,0.0,0.333,0.0,0.667,1.72
train,64,0.0,0.91,0.09,1.0,0.0,0.0,0.0,1.0,1.59
train,65,0.0,1.0,0.0,0.5,0.5,0.2,0.0,0.8,1.35
train,66,0.83,0.17,0.0,1.0,0.0,0.667,0.0,0.333,1.976
train,67,0.84,0.16,0.0,1.0,0.0,0.167,0.0,0.833,1.65
train,68,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.8
train,69,0.8,0.0,0.2,1.0,0.0,0.14,0.0,0.86,1.59
train,70,0.0,1.0,0.0,0.25,0.75,0.0,0.0,1.0,1.24
train,71,0.0,1.0,0.0,1.0,0.0,0.38,0.0,0.62,1.777
train,72,0.0,1.0,0.0,1.0,0.0,0.083,0.0,0.917,1.65
train,73,0.4,0.6,0.0,1.0,0.0,0.0,0.0,1.0,1.544
train,74,0.0,0.0,1.0,0.0,1.0,0.667,0.0,0.333,1.64
train,75,0.79,0.16,0.05,1.0,0.0,0.1,0.0,0.9,1.59
train,76,0.475,0.5,0.025,0.5,0.5,0.0,0.0,1.0,1.27
train,77,0.83,0.12,0.05,1.0,0.0,0.17,0.0,0.83,1.63
train,78,0.79,0.16,0.05,1.0,0.0,0.17,0.0,0.83,1.616
train,79,0.94,0.01,0.05,1.0,0.0,0.01,0.0,0.99,1.55
train,80,0.83,0.17,0.0,1.0,0.0,0.13,0.0,0.87,1.6
train,81,0.75,0.15,0.1,1.0,0.0,0.15,0.0,0.85,1.63
train,82,0.0,0.0,1.0,1.0,0.0,0.103,0.0,0.897,1.75
train,83,0.71,0.29,0.0,1.0,0.0,0.14,0.0,0.86,1.62
train,84,0.33,0.67,0.0,1.0,0.0,0.0,0.0,1.0,1.56
train,85,0.976,0.024,0.0,1.0,0.0,0.025,0.0,0.975,1.54
train,86,0.6,0.4,0.0,0.4,0.6,0.0,0.0,1.0,1.25
train,87,0.79,0.14,0.07,1.0,0.0,0.15,0.0,0.85,1.55
train,88,0.6,0.0,0.4,1.0,0.0,0.3,0.0,0.7,1.76
train,89,0.0,1.0,0.0,0.8,0.2,0.0,0.0,1.0,1.5
train,90,0.0,0.95,0.05,1.0,0.0,0.0,0.0,1.0,1.51
train,91,0.747,0.153,0.1,1.0,0.0,0.17,0.0,0.83,1.73
train,92,0.0,1.0,0.0,1.0,0.0,0.017,0.0,0.983,1.58
train,93,0.83,0.0,0.17,0.99,0.01,0.0,0.0,1.0,1.52
train,94,0.79,0.15,0.06,1.0,0.0,0.15,0.0,0.85,1.64
train,95,0.0,0.0,1.0,1.0,0.0,0.03,0.0,0.97,1.77
train,96,0.71,0.14,0.15,1.0,0.0,0.3,0.0,0.7,1.7
train,97,0.0,0.6,0.4,1.0,0.0,0.0,0.0,1.0,1.62
train,98,0.83,0.17,0.0,1.0,0.0,0.5,0.0,0.5,1.853
train,99,0.83,0.17,0.0,1.0,0.0,0.833,0.0,0.167,2.113
train,100,0.3,0.7,0.0,1.0,0.0,0.05,0.0,0.95,1.6
train,101,0.81,0.14,0.05,1.0,0.0,0.133,0.0,0.867,1.61
train,102,0.0,0.66,0.34,1.0,0.0,0.0,0.0,1.0,1.652
train,103,0.945,0.025,0.03,1.0,0.0,0.025,0.0,0.975,1.56
train,104,0.9,0.0,0.1,1.0,0.0,0.03,0.0,0.97,1.54
train,105,0.75,0.0,0.25,1.0,0.0,0.0,0.0,1.0,1.57
train,106,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.9,1.589
train,107,0.8,0.0,0.2,0.75,0.25,0.0,0.0,1.0,1.35
train,108,0.0,1.0,0.0,1.0,0.0,0.007,0.0,0.993,1.6
train,109,0.75,0.15,0.1,1.0,0.0,0.15,0.0,0.85,1.63
train,110,0.79,0.16,0.05,1.0,0.0,0.157,0.0,0.843,1.59
train,111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.48
train,112,0.0,1.0,0.0,0.75,0.25,0.0,0.0,1.0,1.24
train,113,0.0,0.0,1.0,1.0,0.0,0.9,0.0,0.1,2.32
train,114,0.58,0.33,0.09,1.0,0.0,0.217,0.0,0.783,1.59
train,115,0.0,1.0,0.0,1.0,0.0,0.03,0.0,0.97,1.6
train,116,0.78,0.15,0.07,1.0,0.0,0.15,0.0,0.85,1.61
train,117,0.8,0.15,0.05,1.0,0.0,0.15,0.0,0.85,1.61
train,118,0.765,0.135,0.1,1.0,0.0,0.15,0.0,0.85,1.611
train,119,0.83,0.0,0.17,1.0,0.0,0.6,0.0,0.4,1.93
train,120,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,1.872
train,121,0.83,0.17,0.0,1.0,0.0,0.11,0.0,0.89,1.59
train,122,0.7,0.0,0.3,1.0,0.0,0.0,0.0,1.0,1.512
train,123,0.0,0.0,1.0,0.0,1.0,0.67,0.33,0.0,1.9
train,124,0.7,0.0,0.3,1.0,0.0,1.0,0.0,0.0,2.287
train,125,0.85,0.15,0.0,1.0,0.0,0.0,0.0,1.0,1.549
train,126,0.0,1.0,0.0,0.875,0.125,0.0,0.0,1.0,1.42
train,127,0.4,0.6,0.0,1.0,0.0,0.008,0.0,0.992,1.6
train,128,0.0,0.85,0.15,1.0,0.0,0.15,0.0,0.85,1.717
train,129,0.76,0.14,0.1,1.0,0.0,0.17,0.0,0.83,1.61
train,130,0.79,0.16,0.05,0.5,0.5,0.167,0.0,0.833,1.31
train,131,0.0,1.0,0.0,1.0,0.0,0.04,0.0,0.96,1.6
train,132,0.17,0.83,0.0,1.0,0.0,0.833,0.0,0.167,2.153
train,133,0.54,0.36,0.1,1.0,0.0,0.0,0.0,1.0,1.51
train,134,0.0,0.0,1.0,1.0,0.0,0.15,0.0,0.85,1.84
train,135,0.83,0.17,0.0,1.0,0.0,0.167,0.0,0.833,1.606
train,136,0.81,0.14,0.05,1.0,0.0,0.15,0.0,0.85,1.597
train,137,0.0,0.9,0.1,1.0,0.0,0.0,0.0,1.0,1.54
train,138,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.17
train,139,0.81,0.09,0.1,1.0,0.0,0.033,0.0,0.967,1.55
train,140,0.83,0.12,0.05,1.0,0.0,0.12,0.0,0.88,1.61
train,141,0.0,0.0,1.0,1.0,0.0,0.067,0.0,0.933,1.82
train,142,0.67,0.33,0.0,1.0,0.0,0.667,0.0,0.333,1.969
train,143,0.0,1.0,0.0,0.75,0.25,0.7,0.0,0.3,1.8
train,144,0.84,0.16,0.0,1.0,0.0,0.17,0.0,0.83,1.64
train,145,0.0,0.85,0.15,1.0,0.0,0.0,0.0,1.0,1.59
train,146,0.83,0.0,0.17,0.95,0.05,0.0,0.0,1.0,1.485
train,147,0.85,0.0,0.15,1.0,0.0,0.15,0.0,0.85,1.535
train,148,0.0,0.0,1.0,1.0,0.0,0.333,0.0,0.667,1.92
train,149,0.0,1.0,0.0,1.0,0.0,0.05,0.0,0.95,1.577
train,150,0.8,0.16,0.04,1.0,0.0,0.167,0.0,0.833,1.61
train,151,0.6,0.4,0.0,0.4,0.6,0.1,0.0,0.9,1.354
train,152,0.0,1.0,0.0,0.75,0.25,1.0,0.0,0.0,2.03
train,153,0.666,0.0664,0.2668,1.0,0.0,0.256,0.0,0.744,1.71
train,154,0.75,0.25,0.0,0.0,1.0,0.0,0.0,1.0,1.4
train,155,0.84,0.16,0.0,1.0,0.0,0.133,0.0,0.867,1.53
train,156,0.0,0.0,1.0,1.0,0.0,0.07,0.0,0.93,1.81
train,157,0.0,0.0,1.0,1.0,0.0,0.05,0.0,0.95,1.736
train,158,0.33,0.67,0.0,1.0,0.0,0.167,0.0,0.833,1.671
train,159,0.0,1.0,0.0,0.4,0.6,0.6,0.0,0.4,1.29
train,160,0.85,0.0,0.15,1.0,0.0,0.1,0.0,0.9,1.56
train,161,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,1.72
train,162,0.0,1.0,0.0,1.0,0.0,0.107,0.0,0.893,1.64
train,163,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.75,1.694
train,164,0.17,0.83,0.0,1.0,0.0,0.5,0.0,0.5,1.858
train,165,0.0,1.0,0.0,0.2,0.8,0.0,0.0,1.0,1.204
train,166,0.7,0.3,0.0,1.0,0.0,0.0,0.0,1.0,1.582
train,167,0.85,0.15,0.0,1.0,0.0,0.15,0.0,0.85,1.625
train,168,0.1,0.9,0.0,1.0,0.0,0.1,0.0,0.9,1.586
train,169,0.75,0.0,0.25,1.0,0.0,0.2,0.0,0.8,1.7
train,170,0.0,1.0,0.0,1.0,0.0,0.62,0.38,0.0,2.64
train,171,0.66,0.14,0.2,0.75,0.25,0.167,0.0,0.833,1.38
train,172,0.125,0.875,0.0,1.0,0.0,0.0,0.0,1.0,1.55
train,173,0.78,0.14,0.08,1.0,0.0,0.14,0.0,0.86,1.61
train,174,0.0,1.0,0.0,1.0,0.0,0.033,0.0,0.967,1.601
train,175,0.67,0.33,0.0,1.0,0.0,0.0,0.0,1.0,1.528
train,176,0.83,0.17,0.0,1.0,0.0,0.9,0.1,0.0,2.27
train,177,0.0,1.0,0.0,0.75,0.25,0.3,0.0,0.7,1.53
train,178,0.6,0.0,0.4,1.0,0.0,0.35,0.0,0.65,1.8
train,179,0.733,0.133,0.133,1.0,0.0,0.095,0.0,0.905,1.65
train,180,0.0,1.0,0.0,1.0,0.0,0.27,0.0,0.73,1.71
train,181,0.6,0.4,0.0,0.4,0.6,0.04,0.0,0.96,1.26
train,182,0.8,0.2,0.0,1.0,0.0,0.0,0.0,1.0,1.412
train,183,0.0,1.0,0.0,0.8,0.2,0.133,0.0,0.867,1.26
train,184,0.75,0.1,0.15,1.0,0.0,0.033,0.0,0.967,1.57
train,185,0.15,0.85,0.0,1.0,0.0,0.0,0.0,1.0,1.63
train,186,0.0,1.0,0.0,1.0,0.0,0.84,0.0,0.16,2.154
train,187,0.9,0.0,0.1,1.0,0.0,0.256,0.0,0.744,1.72
train,188,1.0,0.0,0.0,1.0,0.0,0.095,0.0,0.905,1.59
train,189,1.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,1.29
train,190,0.0,1.0,0.0,1.0,0.0,0.13,0.0,0.87,1.641
train,191,0.875,0.0,0.125,1.0,0.0,0.125,0.0,0.875,1.581
train,192,0.7,0.25,0.05,1.0,0.0,0.0,0.0,1.0,1.51
train,193,0.85,0.15,0.0,1.0,0.0,0.15,0.0,0.85,1.58
train,194,0.8,0.0,0.2,1.0,0.0,0.095,0.0,0.905,1.65
train,195,0.83,0.17,0.0,1.0,0.0,0.17,0.0,0.83,1.6
train,196,0.0,1.0,0.0,0.4,0.6,0.4,0.0,0.6,1.26
train,197,0.85,0.15,0.0,1.0,0.0,0.2,0.0,0.8,1.616
train,198,0.66,0.34,0.0,1.0,0.0,0.0,0.0,1.0,1.533
train,199,0.026,0.974,0.0,1.0,0.0,0.0,0.0,1.0,1.516
train,200,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.295
train,201,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.23
train,202,0.1,0.8,0.1,1.0,0.0,0.0,0.0,1.0,1.5
train,203,0.125,0.875,0.0,1.0,0.0,0.333,0.0,0.667,1.71
train,204,0.17,0.83,0.0,1.0,0.0,0.667,0.0,0.333,1.989
train,205,0.77,0.2,0.03,1.0,0.0,0.153,0.0,0.847,1.5
train,206,0.0,1.0,0.0,1.0,0.0,0.4,0.0,0.6,1.781
train,207,0.32,0.48,0.2,1.0,0.0,0.067,0.0,0.933,1.607
train,208,0.79,0.16,0.05,0.832,0.168,0.173,0.0,0.827,1.38
train,209,0.79,0.16,0.05,1.0,0.0,0.0,0.0,1.0,1.57
train,210,0.0,0.0,1.0,0.0,1.0,0.333,0.0,0.667,1.37
train,211,0.8668,0.0664,0.0664,1.0,0.0,0.095,0.0,0.905,1.63
train,212,0.8,0.0,0.2,0.3,0.7,0.0,0.0,1.0,1.35
train,213,0.83,0.0,0.17,1.0,0.0,0.057,0.0,0.943,1.6
train,214,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,1.9
train,215,1.0,0.0,0.0,1.0,0.0,0.89,0.11,0.0,2.3
train,216,0.75,0.2,0.05,1.0,0.0,0.0,0.0,1.0,1.52
train,217,0.83,0.0,0.17,1.0,0.0,0.4,0.0,0.6,1.75
train,218,0.83,0.0,0.17,1.0,0.0,0.4,0.0,0.6,1.74
train,219,0.83,0.17,0.0,1.0,0.0,0.153,0.0,0.847,1.57
train,220,0.0,1.0,0.0,1.0,0.0,0.3,0.0,0.7,1.72
train,221,0.7,0.0,0.3,1.0,0.0,0.05,0.0,0.95,1.62
train,222,0.0,0.0,1.0,0.0,1.0,0.167,0.0,0.833,1.375
train,223,0.7,0.25,0.05,1.0,0.0,0.0,0.0,1.0,1.51
train,224,0.44,0.56,0.0,1.0,0.0,0.11,0.0,0.89,1.62
train,225,0.33,0.66,0.0,0.66,0.33,0.0,0.0,1.0,1.3
train,226,0.5,0.45,0.05,0.5,0.5,0.0,0.0,1.0,1.22
train,227,0.67,0.33,0.0,1.0,0.0,0.833,0.0,0.167,2.115
train,228,1.0,0.0,0.0,1.0,0.0,0.833,0.0,0.167,2.105
train,229,0.85,0.0,0.15,1.0,0.0,0.05,0.0,0.95,1.587
train,230,0.75,0.08,0.17,1.0,0.0,0.13,0.0,0.87,1.61
train,231,0.85,0.0,0.15,1.0,0.0,0.0,0.0,1.0,1.541
train,232,0.79,0.16,0.05,1.0,0.0,0.15,0.0,0.85,1.614
train,233,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.3
train,234,0.9,0.1,0.0,1.0,0.0,0.256,0.0,0.744,1.7
train,235,0.0,1.0,0.0,1.0,0.0,0.2,0.8,0.0,2.83
train,236,0.79,0.16,0.05,0.58,0.42,0.173,0.0,0.827,1.38
train,237,0.74,0.16,0.1,1.0,0.0,0.17,0.0,0.83,1.61
train,238,0.3,0.7,0.0,1.0,0.0,0.1,0.0,0.9,1.603
train,239,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.22
train,240,0.0,1.0,0.0,1.0,0.0,0.42,0.0,0.58,1.79
train,241,0.8,0.04,0.16,1.0,0.0,0.5,0.0,0.5,1.82
train,242,0.17,0.83,0.0,1.0,0.0,0.0,0.0,1.0,1.588
train,243,0.5,0.38,0.12,1.0,0.0,0.32,0.0,0.68,1.72
train,244,0.0,1.0,0.0,1.0,0.0,0.11,0.0,0.89,1.627
train,245,0.0,0.7,0.3,0.5,0.5,0.0,0.0,1.0,1.28
train,246,0.0,0.8,0.2,0.5,0.5,0.0,0.0,1.0,1.3
train,247,0.8,0.15,0.05,1.0,0.0,0.15,0.0,0.85,1.59
train,248,0.0,0.95,0.05,1.0,0.0,0.0,0.0,1.0,1.61
train,249,1.0,0.0,0.0,1.0,0.0,0.256,0.0,0.744,1.7
train,250,0.6,0.4,0.0,0.4,0.6,0.06,0.0,0.94,1.272
train,251,0.0,1.0,0.0,0.75,0.25,0.8,0.0,0.2,1.9
train,252,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.48
train,253,0.9,0.0,0.1,1.0,0.0,0.0,0.0,1.0,1.512
train,254,0.5,0.5,0.0,1.0,0.0,0.833,0.0,0.167,2.141
train,255,0.0,0.8,0.2,1.0,0.0,0.0,0.0,1.0,1.57
train,256,0.0,1.0,0.0,0.85,0.15,0.0,0.0,1.0,1.51
train,257,0.75,0.15,0.1,0.0,1.0,0.167,0.0,0.833,1.44
train,258,0.38,0.6,0.02,1.0,0.0,0.008,0.0,0.992,1.6
train,259,1.0,0.0,0.0,0.125,0.875,0.0,0.0,1.0,1.25
train,260,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.9,1.58
train,261,0.3,0.7,0.0,1.0,0.0,0.0,0.0,1.0,1.583
train,262,0.8,0.04,0.16,1.0,0.0,0.57,0.0,0.43,1.89
train,263,0.81,0.16,0.03,1.0,0.0,0.167,0.0,0.833,1.63
train,264,0.8,0.0,0.2,1.0,0.0,0.3,0.0,0.7,1.75
train,265,0.79,0.16,0.05,1.0,0.0,0.13,0.0,0.87,1.59
train,266,1.0,0.0,0.0,0.625,0.375,0.0,0.0,1.0,1.24
train,267,0.8,0.0,0.2,1.0,0.0,0.5,0.0,0.5,1.82
train,268,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.9,1.562
train,269,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.31
train,270,0.83,0.17,0.0,1.0,0.0,0.0,0.0,1.0,1.535
train,271,0.0,0.85,0.15,1.0,0.0,0.4,0.0,0.6,1.82
train,272,0.0,0.9,0.1,0.25,0.75,0.0,0.0,1.0,1.27
train,273,0.83,0.17,0.0,1.0,0.0,0.163,0.0,0.837,1.615
train,274,0.9,0.0,0.1,1.0,0.0,1.0,0.0,0.0,2.277
train,275,0.7885,0.1615,0.05,1.0,0.0,0.1,0.0,0.9,1.565
train,276,0.83,0.07,0.1,1.0,0.0,0.17,0.0,0.83,1.63
train,277,0.83,0.17,0.0,1.0,0.0,0.157,0.0,0.843,1.61
train,278,0.93,0.0,0.07,1.0,0.0,0.0,0.0,1.0,1.537
train,279,0.0,1.0,0.0,1.0,0.0,0.15,0.0,0.85,1.6
train,280,0.75,0.0,0.25,1.0,0.0,0.2,0.0,0.8,1.694
train,281,1.0,0.0,0.0,0.9,0.1,0.0,0.0,1.0,1.43
train,282,0.0,1.0,0.0,1.0,0.0,0.133,0.0,0.867,1.677
train,283,0.9,0.1,0.0,1.0,0.0,0.033,0.0,0.967,1.562
train,284,0.0,1.0,0.0,0.3,0.7,0.0,0.0,1.0,1.17
train,285,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
train,286,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.16
train,287,0.83,0.0,0.17,0.7,0.3,0.0,0.0,1.0,1.318
train,288,0.83,0.05,0.12,1.0,0.0,0.4,0.0,0.6,1.74
train,289,0.9,0.1,0.0,1.0,0.0,0.0,0.0,1.0,1.532
train,290,0.0,0.0,1.0,1.0,0.0,0.7,0.3,0.0,2.45
train,291,0.7,0.3,0.0,0.7,0.3,0.0,0.0,1.0,1.26
train,292,0.6,0.0,0.4,1.0,0.0,0.256,0.0,0.744,1.65
train,293,0.0,1.0,0.0,1.0,0.0,0.027,0.0,0.973,1.61
train,294,0.83,0.17,0.0,1.0,0.0,1.0,0.0,0.0,2.278
train,295,0.83,0.0,0.17,0.5,0.5,0.0,0.0,1.0,1.26
train,296,0.0,1.0,0.0,0.0,1.0,0.6,0.067,0.333,1.87
train,297,0.0,1.0,0.0,0.4,0.6,0.0,0.0,1.0,1.27
train,298,0.75,0.15,0.1,1.0,0.0,0.333,0.0,0.667,1.73
train,299,0.0,0.9,0.1,1.0,0.0,0.0,0.0,1.0,1.606
train,300,0.85,0.15,0.0,1.0,0.0,0.15,0.0,0.85,1.6
train,301,0.8,0.16,0.04,1.0,0.0,0.167,0.0,0.833,1.633
train,302,0.0,1.0,0.0,1.0,0.0,0.6,0.4,0.0,2.69
train,303,0.8,0.16,0.04,1.0,0.0,0.163,0.0,0.837,1.617
train,304,0.7,0.0,0.3,1.0,0.0,0.0,0.0,1.0,1.58
train,305,0.9,0.0,0.1,1.0,0.0,0.2,0.0,0.8,1.61
train,306,0.0,1.0,0.0,1.0,0.0,0.95,0.0,0.05,2.23
train,307,0.65,0.35,0.0,1.0,0.0,0.0,0.0,1.0,1.52
train,308,0.0,1.0,0.0,1.0,0.0,0.06,0.0,0.94,1.604
train,309,0.85,0.15,0.0,1.0,0.0,0.167,0.0,0.833,1.625
train,310,0.0,1.0,0.0,0.75,0.25,0.9,0.0,0.1,1.99
train,311,0.79,0.16,0.05,1.0,0.0,0.1,0.0,0.9,1.57
train,312,1.0,0.0,0.0,0.0,1.0,0.08,0.0,0.92,1.47
train,313,0.75,0.15,0.1,1.0,0.0,0.17,0.0,0.83,1.63
train,314,0.0,1.0,0.0,1.0,0.0,0.71,0.0,0.29,2.033
train,315,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,1.62
train,316,0.6,0.3,0.1,1.0,0.0,0.256,0.0,0.744,1.7
train,317,0.85,0.0,0.15,1.0,0.0,0.7,0.0,0.3,2.0
train,318,0.925,0.0,0.075,0.0,1.0,0.0,0.0,1.0,1.36
train,319,0.85,0.15,0.0,1.0,0.0,0.15,0.0,0.85,1.583
train,320,0.17,0.83,0.0,1.0,0.0,0.333,0.0,0.667,1.764
train,321,0.0,1.0,0.0,1.0,0.0,0.167,0.0,0.833,1.654
train,322,0.66,0.14,0.2,1.0,0.0,0.167,0.0,0.833,1.6
train,323,0.79,0.16,0.05,0.664,0.336,0.173,0.0,0.827,1.38
train,324,0.915,0.0,0.085,1.0,0.0,0.15,0.0,0.85,1.625
train,325,0.83,0.0,0.17,1.0,0.0,0.0,0.0,1.0,1.54
train,326,0.79,0.16,0.05,1.0,0.0,0.167,0.0,0.833,1.63
train,327,0.0,0.95,0.05,1.0,0.0,0.4,0.0,0.6,1.82
train,328,0.0,1.0,0.0,0.0,1.0,0.4,0.0,0.6,1.6
train,329,0.0,0.0,1.0,0.0,1.0,0.2,0.0,0.8,1.4
train,330,0.1,0.9,0.0,0.9,0.1,0.0,0.0,1.0,1.44
train,331,0.2,0.8,0.0,1.0,0.0,0.0,0.0,1.0,1.556
train,332,0.733,0.133,0.133,1.0,0.0,0.256,0.0,0.744,1.71
train,333,0.6,0.4,0.0,0.4,0.6,0.16,0.0,0.84,1.32
train,334,0.76,0.09,0.15,1.0,0.0,0.01,0.0,0.99,1.599
train,335,0.765,0.135,0.1,1.0,0.0,0.15,0.0,0.85,1.611
train,336,1.0,0.0,0.0,0.0,1.0,0.25,0.0,0.75,1.63
train,337,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,2.28
train,338,0.0,1.0,0.0,1.0,0.0,0.01,0.0,0.99,1.6
train,339,0.925,0.0,0.075,1.0,0.0,0.0,0.0,1.0,1.51
train,340,0.95,0.0,0.05,1.0,0.0,0.0,0.0,1.0,1.554
train,341,0.0,1.0,0.0,0.0,1.0,0.333,0.0,0.667,1.503
train,342,0.6,0.4,0.0,1.0,0.0,0.133,0.0,0.867,1.58
train,343,0.83,0.12,0.05,1.0,0.0,0.163,0.0,0.837,1.6
train,344,0.0,1.0,0.0,0.65,0.35,0.0,0.0,1.0,1.25
train,345,0.79,0.16,0.05,0.748,0.252,0.173,0.0,0.827,1.38
train,346,0.75,0.15,0.1,1.0,0.0,0.17,0.0,0.83,1.61
train,347,0.9,0.0,0.1,1.0,0.0,0.3,0.0,0.7,1.7
