Model ID,k,Terms,AIC rank,BIC rank,AIC,BIC,Train RMSE,Test RMSE,Test R2,Contains Cl2,Interaction count
379,5,"Sn², Br², Cl², SnCl, BrCl",205,206,-2255.0619354396786,-2229.5620839861217,0.1121089938564769,0.12619116639317632,0.8983393504022015,Yes,2
78,3,"Br, Cl, SnBr",215,207,-2245.7995092386727,-2228.799608269635,0.1135533905009825,0.14587855333126817,0.8641442992629248,No,1
378,5,"Sn², Br², Cl², SnBr, BrCl",207,208,-2253.735004668661,-2228.235153215104,0.11225267743020631,0.12637494376541972,0.8980430296384815,Yes,2
450,6,"Br, Cl, Br², Cl², SnBr, BrCl",204,209,-2257.6920709892006,-2227.942244293384,0.11160906951568643,0.1552860474979452,0.8460570363214637,Yes,2
346,5,"Br, Cl, SnBr, SnCl, BrCl",210,210,-2250.8311749754034,-2225.3313235218466,0.11256775456276369,0.14172722597395468,0.8717664855981959,No,3
340,5,"Br, Cl, Br², SnBr, SnCl",211,211,-2250.6864664941813,-2225.1866150406245,0.11258347912503168,0.14170519525659428,0.8718063488879939,No,2
343,5,"Br, Cl, Cl², SnBr, SnCl",212,212,-2250.682049156447,-2225.1821977028903,0.11258395916394172,0.1417945448802185,0.8716446375896949,Yes,2
466,6,"Sn², Br², Cl², SnBr, SnCl, BrCl",208,213,-2253.571726359527,-2223.8218996637106,0.11205384126207295,0.12620210746328722,0.8983217212044527,Yes,3
196,4,"Br, Cl, Cl², SnBr",216,214,-2243.855032885404,-2222.6051566741066,0.11354730485485394,0.14594164518654407,0.8640267598226432,Yes,1
200,4,"Br, Cl, SnBr, BrCl",217,215,-2243.8167106540986,-2222.5668344428013,0.11355150511215303,0.14587648729810396,0.8641481474008348,No,2
193,4,"Br, Cl, Br², SnBr",218,216,-2243.8052973012313,-2222.555421089934,0.11355275608757329,0.14598375338130465,0.8639482844338346,No,1
452,6,"Br, Cl, Br², SnBr, SnCl, BrCl",213,217,-2248.832435158659,-2219.0826084628425,0.11256761763620661,0.14168105185719687,0.871850027834999,No,3
449,6,"Br, Cl, Br², Cl², SnBr, SnCl",214,218,-2248.686495837091,-2218.9366691412747,0.11258347593629918,0.14170680853186746,0.8718034299713743,Yes,2
206,4,"Br, Sn², Cl², SnBr",223,219,-2239.468018570594,-2218.2181423592965,0.11402914832296596,0.1475520719774158,0.8610093467550337,Yes,1
361,5,"Br, Cl², SnBr, SnCl, BrCl",219,220,-2243.288871967648,-2217.789020514091,0.11339026243146404,0.14039052799145674,0.8741739433887865,Yes,3
337,5,"Br, Cl, Br², Cl², SnBr",220,221,-2241.8582494796,-2216.3583980260432,0.11354695231138406,0.14602022639848083,0.8638802928069411,Yes,1
341,5,"Br, Cl, Br², SnBr, BrCl",221,222,-2241.8243543348817,-2216.324502881325,0.11355066732426153,0.14599668367088914,0.8639241822176811,No,2
219,4,"Br, Cl², SnBr, BrCl",227,223,-2236.931102618579,-2215.681226407282,0.11430872056841732,0.144387282396155,0.8669077227676663,Yes,2
347,5,"Br, Sn², Br², Cl², SnBr",224,224,-2238.3936717998604,-2212.8938203463035,0.11392731018690704,0.1480582572896218,0.8600540812055519,Yes,1
353,5,"Br, Sn², Cl², SnBr, SnCl",225,225,-2238.272325372395,-2212.772473918838,0.11394065524651488,0.14684963584489605,0.862329554084119,Yes,2
459,6,"Br, Br², Cl², SnBr, SnCl, BrCl",222,226,-2241.290695393798,-2211.5408686979818,0.11339006285753762,0.14033682428391478,0.8742701896726248,Yes,3
358,5,"Br, Br², Cl², SnBr, BrCl",228,227,-2234.93689201938,-2209.4370405658233,0.1143080817873851,0.14448869386323707,0.8667207004377904,Yes,2
454,6,"Br, Sn², Br², Cl², SnBr, SnCl",226,228,-2237.21195892148,-2207.4621322256635,0.11383735995203968,0.1473967362041893,0.8613018381545431,Yes,2
82,3,"Br, Sn², Cl²",231,229,-2223.705144705968,-2206.7052437369302,0.11600110696924561,0.14534478802753795,0.8651366643842922,Yes,0
202,4,"Br, Sn², Br², Cl²",229,230,-2225.9171215745205,-2204.667245363223,0.11553044856530205,0.1483361821246966,0.859528194272794,Yes,0
207,4,"Br, Sn², Cl², SnCl",232,231,-2223.4117147909237,-2202.1618385796264,0.1158101793065728,0.14488960855621935,0.8659800506397475,Yes,1
348,5,"Br, Sn², Br², Cl², SnCl",230,232,-2225.526331631264,-2200.026480177707,0.11535113539342838,0.14786170067740265,0.8604254085109814,Yes,1
90,3,"Br, Cl², SnBr",235,233,-2148.003932005852,-2131.0040310368145,0.12479475184519404,0.16691445178104733,0.8221381308332365,Yes,1
218,4,"Br, Cl², SnBr, SnCl",233,234,-2151.5009651120176,-2130.2510889007203,0.12413434245231555,0.16358032269369188,0.8291727724796878,Yes,2
