id,FA,MA,Cs,Pb,Sn,Br,Cl,I,Eg,source_row_index,sample_id,original_split,A_sum,B_sum,X_sum,A_closure_error,B_closure_error,X_closure_error,numeric_complete,fractions_within_0_1,closure_pass,dataset_index
236,0.79,0.16,0.05,0.58,0.42,0.173,0.0,0.827,1.38,236,train_236,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,230
237,0.74,0.16,0.1,1.0,0.0,0.17,0.0,0.83,1.61,237,train_237,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,231
238,0.3,0.7,0.0,1.0,0.0,0.1,0.0,0.9,1.603,238,train_238,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,232
239,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.22,239,train_239,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,233
240,0.0,1.0,0.0,1.0,0.0,0.42,0.0,0.58,1.79,240,train_240,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,234
241,0.8,0.04,0.16,1.0,0.0,0.5,0.0,0.5,1.82,241,train_241,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,235
242,0.17,0.83,0.0,1.0,0.0,0.0,0.0,1.0,1.588,242,train_242,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,236
243,0.5,0.38,0.12,1.0,0.0,0.32,0.0,0.68,1.72,243,train_243,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,237
244,0.0,1.0,0.0,1.0,0.0,0.11,0.0,0.89,1.627,244,train_244,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,238
245,0.0,0.7,0.3,0.5,0.5,0.0,0.0,1.0,1.28,245,train_245,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,239
246,0.0,0.8,0.2,0.5,0.5,0.0,0.0,1.0,1.3,246,train_246,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,240
247,0.8,0.15,0.05,1.0,0.0,0.15,0.0,0.85,1.59,247,train_247,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,241
248,0.0,0.95,0.05,1.0,0.0,0.0,0.0,1.0,1.61,248,train_248,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,242
249,1.0,0.0,0.0,1.0,0.0,0.256,0.0,0.744,1.7,249,train_249,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,243
250,0.6,0.4,0.0,0.4,0.6,0.06,0.0,0.94,1.272,250,train_250,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,244
251,0.0,1.0,0.0,0.75,0.25,0.8,0.0,0.2,1.9,251,train_251,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,245
252,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.48,252,train_252,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,246
253,0.9,0.0,0.1,1.0,0.0,0.0,0.0,1.0,1.512,253,train_253,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,247
254,0.5,0.5,0.0,1.0,0.0,0.833,0.0,0.167,2.141,254,train_254,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,248
255,0.0,0.8,0.2,1.0,0.0,0.0,0.0,1.0,1.57,255,train_255,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,249
256,0.0,1.0,0.0,0.85,0.15,0.0,0.0,1.0,1.51,256,train_256,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,250
257,0.75,0.15,0.1,0.0,1.0,0.167,0.0,0.833,1.44,257,train_257,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,251
258,0.38,0.6,0.02,1.0,0.0,0.008,0.0,0.992,1.6,258,train_258,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,252
259,1.0,0.0,0.0,0.125,0.875,0.0,0.0,1.0,1.25,259,train_259,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,253
260,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.9,1.58,260,train_260,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,254
261,0.3,0.7,0.0,1.0,0.0,0.0,0.0,1.0,1.583,261,train_261,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,255
262,0.8,0.04,0.16,1.0,0.0,0.57,0.0,0.43,1.89,262,train_262,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,256
263,0.81,0.16,0.03,1.0,0.0,0.167,0.0,0.833,1.63,263,train_263,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,257
264,0.8,0.0,0.2,1.0,0.0,0.3,0.0,0.7,1.75,264,train_264,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,258
265,0.79,0.16,0.05,1.0,0.0,0.13,0.0,0.87,1.59,265,train_265,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,259
266,1.0,0.0,0.0,0.625,0.375,0.0,0.0,1.0,1.24,266,train_266,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,260
267,0.8,0.0,0.2,1.0,0.0,0.5,0.0,0.5,1.82,267,train_267,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,261
268,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.9,1.562,268,train_268,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,262
269,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.31,269,train_269,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,263
270,0.83,0.17,0.0,1.0,0.0,0.0,0.0,1.0,1.535,270,train_270,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,264
271,0.0,0.85,0.15,1.0,0.0,0.4,0.0,0.6,1.82,271,train_271,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,265
272,0.0,0.9,0.1,0.25,0.75,0.0,0.0,1.0,1.27,272,train_272,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,266
273,0.83,0.17,0.0,1.0,0.0,0.163,0.0,0.837,1.615,273,train_273,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,267
274,0.9,0.0,0.1,1.0,0.0,1.0,0.0,0.0,2.277,274,train_274,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,268
275,0.7885,0.1615,0.05,1.0,0.0,0.1,0.0,0.9,1.565,275,train_275,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,269
276,0.83,0.07,0.1,1.0,0.0,0.17,0.0,0.83,1.63,276,train_276,train,0.9999999999999999,1.0,1.0,-1.1102230246251565e-16,0.0,0.0,True,True,True,270
277,0.83,0.17,0.0,1.0,0.0,0.157,0.0,0.843,1.61,277,train_277,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,271
278,0.93,0.0,0.07,1.0,0.0,0.0,0.0,1.0,1.537,278,train_278,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,272
279,0.0,1.0,0.0,1.0,0.0,0.15,0.0,0.85,1.6,279,train_279,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,273
280,0.75,0.0,0.25,1.0,0.0,0.2,0.0,0.8,1.694,280,train_280,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,274
281,1.0,0.0,0.0,0.9,0.1,0.0,0.0,1.0,1.43,281,train_281,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,275
282,0.0,1.0,0.0,1.0,0.0,0.133,0.0,0.867,1.677,282,train_282,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,276
283,0.9,0.1,0.0,1.0,0.0,0.033,0.0,0.967,1.562,283,train_283,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,277
284,0.0,1.0,0.0,0.3,0.7,0.0,0.0,1.0,1.17,284,train_284,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,278
285,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,285,train_285,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,279
286,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.16,286,train_286,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,280
287,0.83,0.0,0.17,0.7,0.3,0.0,0.0,1.0,1.318,287,train_287,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,281
288,0.83,0.05,0.12,1.0,0.0,0.4,0.0,0.6,1.74,288,train_288,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,282
289,0.9,0.1,0.0,1.0,0.0,0.0,0.0,1.0,1.532,289,train_289,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,283
290,0.0,0.0,1.0,1.0,0.0,0.7,0.3,0.0,2.45,290,train_290,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,284
291,0.7,0.3,0.0,0.7,0.3,0.0,0.0,1.0,1.26,291,train_291,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,285
292,0.6,0.0,0.4,1.0,0.0,0.256,0.0,0.744,1.65,292,train_292,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,286
293,0.0,1.0,0.0,1.0,0.0,0.027,0.0,0.973,1.61,293,train_293,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,287
294,0.83,0.17,0.0,1.0,0.0,1.0,0.0,0.0,2.278,294,train_294,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,288
295,0.83,0.0,0.17,0.5,0.5,0.0,0.0,1.0,1.26,295,train_295,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,289
296,0.0,1.0,0.0,0.0,1.0,0.6,0.067,0.333,1.87,296,train_296,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,290
297,0.0,1.0,0.0,0.4,0.6,0.0,0.0,1.0,1.27,297,train_297,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,291
298,0.75,0.15,0.1,1.0,0.0,0.333,0.0,0.667,1.73,298,train_298,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,292
299,0.0,0.9,0.1,1.0,0.0,0.0,0.0,1.0,1.606,299,train_299,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,293
300,0.85,0.15,0.0,1.0,0.0,0.15,0.0,0.85,1.6,300,train_300,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,294
301,0.8,0.16,0.04,1.0,0.0,0.167,0.0,0.833,1.633,301,train_301,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,295
302,0.0,1.0,0.0,1.0,0.0,0.6,0.4,0.0,2.69,302,train_302,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,296
303,0.8,0.16,0.04,1.0,0.0,0.163,0.0,0.837,1.617,303,train_303,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,297
304,0.7,0.0,0.3,1.0,0.0,0.0,0.0,1.0,1.58,304,train_304,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,298
305,0.9,0.0,0.1,1.0,0.0,0.2,0.0,0.8,1.61,305,train_305,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,299
306,0.0,1.0,0.0,1.0,0.0,0.95,0.0,0.05,2.23,306,train_306,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,300
307,0.65,0.35,0.0,1.0,0.0,0.0,0.0,1.0,1.52,307,train_307,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,301
308,0.0,1.0,0.0,1.0,0.0,0.06,0.0,0.94,1.604,308,train_308,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,302
309,0.85,0.15,0.0,1.0,0.0,0.167,0.0,0.833,1.625,309,train_309,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,303
310,0.0,1.0,0.0,0.75,0.25,0.9,0.0,0.1,1.99,310,train_310,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,304
311,0.79,0.16,0.05,1.0,0.0,0.1,0.0,0.9,1.57,311,train_311,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,305
312,1.0,0.0,0.0,0.0,1.0,0.08,0.0,0.92,1.47,312,train_312,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,306
313,0.75,0.15,0.1,1.0,0.0,0.17,0.0,0.83,1.63,313,train_313,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,307
314,0.0,1.0,0.0,1.0,0.0,0.71,0.0,0.29,2.033,314,train_314,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,308
315,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,1.62,315,train_315,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,309
316,0.6,0.3,0.1,1.0,0.0,0.256,0.0,0.744,1.7,316,train_316,train,0.9999999999999999,1.0,1.0,-1.1102230246251565e-16,0.0,0.0,True,True,True,310
317,0.85,0.0,0.15,1.0,0.0,0.7,0.0,0.3,2.0,317,train_317,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,311
318,0.925,0.0,0.075,0.0,1.0,0.0,0.0,1.0,1.36,318,train_318,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,312
319,0.85,0.15,0.0,1.0,0.0,0.15,0.0,0.85,1.583,319,train_319,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,313
320,0.17,0.83,0.0,1.0,0.0,0.333,0.0,0.667,1.764,320,train_320,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,314
321,0.0,1.0,0.0,1.0,0.0,0.167,0.0,0.833,1.654,321,train_321,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,315
322,0.66,0.14,0.2,1.0,0.0,0.167,0.0,0.833,1.6,322,train_322,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,316
323,0.79,0.16,0.05,0.664,0.336,0.173,0.0,0.827,1.38,323,train_323,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,317
324,0.915,0.0,0.085,1.0,0.0,0.15,0.0,0.85,1.625,324,train_324,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,318
325,0.83,0.0,0.17,1.0,0.0,0.0,0.0,1.0,1.54,325,train_325,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,319
326,0.79,0.16,0.05,1.0,0.0,0.167,0.0,0.833,1.63,326,train_326,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,320
327,0.0,0.95,0.05,1.0,0.0,0.4,0.0,0.6,1.82,327,train_327,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,321
328,0.0,1.0,0.0,0.0,1.0,0.4,0.0,0.6,1.6,328,train_328,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,322
