cv_rank,model_id,k,terms,pareto_front,cv_rmse,cv_sd,cv_pooled,fold1,fold2,fold3,fold4,fold5,train_rmse,test_rmse,test_r2,cl_rich_rmse,ma_rich_rmse,Sn,Br,Cl,Sn^2,Br^2,Cl^2,SnBr,SnCl,BrCl,formula
251,75,3,"Br, Cl, Br²",No,0.13422086258676674,0.012595988462643164,0.1347215328267701,0.12296869857197167,0.1475129407917332,0.14678667201662168,0.13269649606193107,0.1211395054915761,0.13370744815474922,0.14810736364861488,0.8599612343180103,0.14501391344143993,0.13772877757204216,0,1,1,0,1,0,0,0,0,Eg = 1.47668 + 0.56428*Br + 1.53313*Cl + 0.19401*Br²
252,18,2,"Br, Cl",Yes,0.1347082597461106,0.012446653814652767,0.13519598238907513,0.12354228791929701,0.14916091524853065,0.14590839581394477,0.13274412850602843,0.12218557124275209,0.13444735552204068,0.1446432889692518,0.8664353445437964,0.13639971413006707,0.13623930650740423,0,1,1,0,0,0,0,0,0,Eg = 1.46441 + 0.72341*Br + 1.52935*Cl
253,213,4,"Br, Br², Cl², BrCl",No,0.13477881960813717,0.012536177109993864,0.13527277203054924,0.12400042571240262,0.14774147944801133,0.14711071776579154,0.13411556123762675,0.12092591387685354,0.1335456609635495,0.14914882383160188,0.8579848629874469,0.15696372590205976,0.1391176509804813,0,1,0,0,1,1,0,0,1,Eg = 1.47553 + 0.57722*Br + 0.18548*Br² + 1.55715*Cl² + 1.42670*BrCl
254,191,4,"Br, Cl, Br², Cl²",No,0.13481168336128757,0.012337427508669481,0.13529048052864395,0.12437386032696789,0.1474959050827916,0.14689175790803105,0.13437372447221507,0.12092316901643227,0.13363751492856055,0.14953589520821436,0.8572467904730475,0.16079203817883053,0.13959715013517193,0,1,1,0,1,1,0,0,0,Eg = 1.47562 + 0.57500*Br + 1.40480*Cl + 0.18802*Br² + 0.15519*Cl²
255,338,5,"Br, Cl, Br², Cl², BrCl",No,0.13485017862760745,0.012523362817768703,0.1353432399148782,0.12423625832398802,0.14782082129449345,0.14717730423122138,0.13409156188497548,0.12092494740335905,0.1335372677538966,0.1490631063496863,0.8581480514269567,0.1561524077295936,0.13901479205261816,0,1,1,0,1,1,0,0,1,Eg = 1.47545 + 0.57855*Br - 0.57444*Cl + 0.18421*Br² + 2.13113*Cl² + 2.00485*BrCl
256,194,4,"Br, Cl, Br², BrCl",No,0.1348879041430205,0.012355118393664646,0.1353680689920798,0.12453722116457652,0.14761004333880523,0.14701751900816912,0.13432086507451269,0.120953872129039,0.13365285180712133,0.149383435921392,0.8575377300861549,0.15915341982975637,0.1393984210747341,0,1,1,0,1,0,0,0,1,Eg = 1.47576 + 0.57346*Br + 1.55699*Cl + 0.18900*Br² - 0.13852*BrCl
257,91,3,"Br, Cl², BrCl",No,0.1352324366367314,0.012270315517690531,0.13570476735231016,0.12468053983381493,0.14920112459898874,0.1459990251520458,0.134436469328732,0.12184502427007546,0.13421674002212522,0.1462030914131323,0.8635391466653607,0.15273550908257144,0.13814342804485494,0,1,0,0,0,1,0,0,1,Eg = 1.46360 + 0.73105*Br + 1.56172*Cl² + 1.38473*BrCl
258,76,3,"Br, Cl, Cl²",No,0.1352796158979317,0.012050606580283512,0.13573565722180655,0.12513825974867443,0.14897450086726746,0.1457431349507163,0.134703333034354,0.12183885088864624,0.13432591716352213,0.1465535687863242,0.862884115836405,0.156627046472353,0.13860954249672927,0,1,1,0,0,1,0,0,0,Eg = 1.46352 + 0.73103*Br + 1.36080*Cl + 0.20401*Cl²
259,197,4,"Br, Cl, Cl², BrCl",No,0.13532048216231268,0.012254198548169665,0.13579180761042225,0.124992194826998,0.1492776724511619,0.14611990941989936,0.1343700564654201,0.12184257764808402,0.1341967287471881,0.14610985057129483,0.8637131466464816,0.15154906007829783,0.13800544190955938,0,1,1,0,0,1,0,0,1,Eg = 1.46361 + 0.73147*Br - 0.88751*Cl + 2.44847*Cl² + 2.27844*BrCl
260,79,3,"Br, Cl, BrCl",No,0.13536911508580152,0.01206060078036482,0.13582598135022422,0.12535569992788737,0.14910388970225072,0.14587590723552676,0.13463104969072015,0.12187902887262263,0.1343491188291086,0.14636855911709296,0.8632300883352545,0.15481545512590988,0.1383880832271681,0,1,1,0,0,0,0,0,1,Eg = 1.46361 + 0.73020*Br + 1.56142*Cl - 0.18547*BrCl
