model_id,id,Sn,Br,Cl,Cs,Bg,prediction,shap_base_value,shap_term__Sn,shap_term__Br,shap_term__Cl,shap_term__Cs,shap_term__Sn^2,shap_term__Br^2,shap_term__Cl^2,shap_term__Sn*Br,shap_term__Sn*Cl,shap_term__Cs*Br,shap_term__Cs*Cl,shap_reconstruction_error
m4_full_s3,10,0.0,0.157,0.0,0.07,1.6,1.6290557815743958,1.6512277992277937,0.1515777687699602,-0.019327855287085513,-0.0396239645662496,-0.0044961752462697735,-0.09117311925898199,-0.026280139157728605,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0013525727108702984,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,11,0.2,0.0,0.0,0.17,1.35,1.387116007754858,1.6512277992277937,-0.06374455187405294,-0.08291688231396835,-0.0396239645662496,0.004774510586165595,-0.05613448934488191,-0.03442305767375257,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,12,0.0,0.17,0.0,0.25,1.63,1.6501041245781674,1.6512277992277937,0.1515777687699602,-0.014062521838999668,-0.0396239645662496,0.01219105925211389,-0.09117311925898199,-0.02487580037677936,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,-0.0009559910127769428,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,13,0.0,0.2,0.0,0.2,1.48,1.661469652008122,1.6512277992277937,0.1515777687699602,-0.0019117523434169605,-0.0396239645662496,0.0075557163358962055,-0.09117311925898199,-0.0212088607229246,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,-0.0007728298160419987,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,14,0.0,0.04,0.0,0.15,1.6,1.5818355683182637,1.6512277992277937,0.1515777687699602,-0.06671585631985806,-0.0396239645662496,0.00292037341967852,-0.09117311925898199,-0.03389448979571945,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0017181624595532477,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,15,0.0,0.15,0.0,0.05,1.606,1.623912225158398,1.6512277992277937,0.1515777687699602,-0.022163034836054814,-0.0396239645662496,-0.006350312412756848,-0.09117311925898199,-0.02699007188891184,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0016082657415122808,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,16,0.0,0.177,0.0,0.0,1.64,1.6336787620003812,1.6512277992277937,0.1515777687699602,-0.011227342290030378,-0.0396239645662496,-0.010985655328974532,-0.09117311925898199,-0.02407336826694034,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,17,0.5,0.0,0.0,0.05,1.26,1.2369605108389412,1.6512277992277937,-0.3867280328400726,-0.08291688231396835,-0.0396239645662496,-0.006350312412756848,0.12781831770414342,-0.03442305767375257,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,18,0.0,0.0,0.0,0.05,1.54,1.5562748754858486,1.6512277992277937,0.1515777687699602,-0.08291688231396835,-0.0396239645662496,-0.006350312412756848,-0.09117311925898199,-0.03442305767375257,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,19,0.0,0.8,0.2,1.0,2.33,2.371537540710171,1.6512277992277937,0.1515777687699602,0.2411036375682372,0.2734035426065015,0.08172120299537915,-0.09117311925898199,0.17700409353949492,0.0012613460594806812,0.003859944053412938,0.00042770367681941815,-0.05645383362346514,-0.062422544904462224,4.440892098500626e-16
m4_full_s3,20,0.0,0.15,0.0,0.05,1.616,1.623912225158398,1.6512277992277937,0.1515777687699602,-0.022163034836054814,-0.0396239645662496,-0.006350312412756848,-0.09117311925898199,-0.02699007188891184,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0016082657415122808,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,21,0.0,0.256,0.0,0.3,1.72,1.6991615847497819,1.6512277992277937,0.1515777687699602,0.020769684048337424,-0.0396239645662496,0.01682640216833157,-0.09117311925898199,-0.012772917389516032,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,-0.003468962631980381,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,22,0.0,0.256,0.0,0.2,1.7,1.6917664695719123,1.6512277992277937,0.1515777687699602,0.020769684048337424,-0.0396239645662496,0.0075557163358962055,-0.09117311925898199,-0.012772917389516032,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,-0.0015933919774145497,0.0025069295142354305,4.440892098500626e-16
